127.0.0.1 - - [13/Aug/2025:09:20:39 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:20:40 +0900] "GET /myab/initial-test.html HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:20:40 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:20:44 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:20:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:52 +0900] "GET /myab/initial-test.html HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:52 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:24:53 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:27:06 +0900] "GET /myab/initial-test.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:02 +0900] "GET /myab/initial-test.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:07 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /myab/initial-test.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:21 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:22 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:22 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:22 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:22 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:22 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:22 +0900] "GET /myab/initial-test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2025:09:36:22 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
